SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
AS050069,,,2,,,,1,1,,1,2,,1,0,0,1
AS050075,,1,2,1,1,,2,1,,,,1,3,1,2,1
AS050077,,1,,1,,,2,1,,2,1,,2,1,0,0
AS050081,,,1,1,1,1,2,1,,,1,,1,2,1,1
AS050085,,,1,,1,,,1,,,,,0,0,0,0
AS050086,1,,,1,,,,,,,,,0,0,0,0
AS050185,6,,,3,6,6,6,7,3,7,6,6,6,6,5,6
AS050237,,1,1,1,,1,1,,,1,1,1,2,2,2,1
AS050478,1,1,,,2,1,3,2,2,1,2,3,2,1,4,1
AS050481,3,1,6,2,3,7,6,4,4,2,7,3,4,2,5,3
AS050483,1,,1,,1,1,1,,2,2,2,,2,1,1,1
AS050585,,,1,1,3,2,3,2,1,1,1,,2,0,0,2
AS050613,,,,1,2,2,3,2,1,1,,,2,2,3,1
AS060001,,,,1,,,1,,,,1,1,0,1,1,0
AS060003,1,1,1,1,1,1,1,2,,1,1,1,1,1,2,1
AS060004,8,9,8,9,9,10,9,9,6,7,11,8,10,8,11,8
AS060005,8,6,8,6,7,6,6,5,6,6,7,7,8,4,6,7
AS060006,10,8,7,9,9,8,8,6,7,9,9,9,10,6,9,7
AS060007,6,4,5,2,6,4,4,3,5,4,6,5,4,4,5,4
AS060013,,,,,,,,,,,1,,0,1,1,0
AS060014,,,,,,1,,,,1,,,0,0,1,0
AS060015,1,3,1,2,,2,,,1,,1,2,3,1,3,0
AS060018,1,1,2,,1,1,2,1,1,1,2,1,3,1,2,1
AS060019,5,5,3,3,1,4,4,3,4,2,4,3,4,4,4,2
AS060033,,1,,,,,1,,,1,,1,1,1,0,0
AS080022,1,,,,,,,,,,1,,0,0,0,0
AS080033,,,,,1,,,,1,,1,,0,0,0,1
AS080037,,,,,,1,,,,,,,0,0,0,0
AS080051,,1,2,,,1,,,1,1,,,0,0,0,0
AS080052,2,,,,,1,1,1,1,,,1,0,2,1,1
AS100014,,,,,1,,,,,,,,0,1,0,0
AS100056,,2,1,,,,1,,,,,1,1,0,0,0
AS110005,3,3,4,2,2,3,3,3,,3,1,3,2,1,4,2
AS110006,2,3,3,2,2,4,2,1,1,3,3,1,1,3,4,2
AS110007,2,3,3,2,2,2,3,1,2,2,2,,3,1,1,1
AS110021,,,,,,,,,,,,1,0,1,0,0
AS110023,1,,,,,,,,,,,,0,0,0,0
AS110025,,1,1,1,,1,1,1,1,,,,0,0,0,0
AS110026,2,,,,,,,,1,,,,1,1,1,1
AS110049,,,,,,,1,,,,,,0,0,0,1
AS110050,,,,,,1,,,,,1,,0,0,0,0
